das Haar(1)	Meine Freundin hat langes schwarzes Haar.	My girlfriend has long black hair.
das Haar(2)	Die Haare unseres Hundes liegen überall in der Wohnung.	Our dog's hair is everywhere in the apartment.
haben(1)	Wir haben Hunger.	We are hungry.
haben(2)	Heute habe ich keine Zeit.	I have no time today.
haben(3)	Wir haben ein neues Auto.	We have a new car.
haben(4)	Kann ich bitte eine Suppe haben?	Can I please have a soup?
haben(5)	Unsere Wohnung hat vier Zimmer.	Our apartment has four rooms.
haben(6)	Ich habe heute viel zu tun.	I have a lot to do today.
haben(7)	Du hast es gut. Du kannst in Urlaub fahren.	You have it good. You can go on vacation.
das Hackfleisch(1)	Geben Sie mir bitte 500g Hackfleisch.	Please give me 500g of minced meat.
der Hafen(1)	Wenn du in Hamburg bist, musst du dir unbedingt den Hafen ansehen.	When you are in Hamburg, you must see the harbor.
hageln(1)	Bei Gewitter kann es auch hageln.	During a thunderstorm, it can also hail.
das Hähnchen/Hühnchen(1)	Zum Mittagessen gibt es Hühnchen mit Reis.	For lunch, there is chicken with rice.
halb(1)	Treffen wir uns um halb neun?	Shall we meet at half past eight?
halb(2)	Bei dieser Firma habe ich ein halbes Jahr gearbeitet.	I worked at this company for half a year.
halb(3)	Ich gebe Ihnen die Tomaten zum halben Preis.	I will give you the tomatoes at half price.
halb(4)	Die Flasche ist ja noch halb voll.	The bottle is still half full.
die Halbpension(1)	Wir möchten ein Hotel mit Halbpension.	We want a hotel with half board.
halbtags(1)	Ich habe ein kleines Kind und kann nicht acht Stunden am Tag arbeiten. Deshalb möchte ich halbtags arbeiten.	I have a small child and cannot work eight hours a day. Therefore, I want to work part-time.
halten(1)	Kannst du mal kurz meine Handtasche halten?	Can you hold my handbag for a moment?
halten(2)	Entschuldigung, hält dieser Zug auch in Darmstadt?	Excuse me, does this train also stop in Darmstadt?
halten(3)	Halten Sie bitte im Keller die Fenster geschlossen.	Please keep the windows closed in the basement.
halten(4)	Alle Mieter müssen sich an die Hausordnung halten.	All tenants must adhere to the house rules.
halten(5)	Die Stadt will einen neuen Flughafen bauen. Was halten Sie davon?	The city wants to build a new airport. What do you think of it?
der Handel(1)	Der Handel mit Computern ist ein gutes Geschäft.	The trade in computers is a good business.
der Händler(1)	Ich gehe zum Gemüsehändler, soll ich dir etwas mitbringen?	I’m going to the greengrocer. Should I bring you something?
das Handy(1)	Ich habe kein Festnetztelefon, aber ein Handy.	I don’t have a landline phone, but I have a cell phone.
das Handy(2)	Soll ich Ihnen meine Handynummer geben?	Should I give you my cell phone number?
hängen(1)	Das Bild hängt schief.	The picture is hanging crooked.
hängen(2)	Hast du den Anzug wieder in den Schrank gehängt?	Did you hang the suit back in the closet?
hart(1)	Das Bett im Hotel war mir zu hart.	The bed in the hotel was too hard for me.
hart(2)	Die Brötchen sind ja ganz hart.	The rolls are very hard.
hart(3)	Ich habe eine harte Woche vor mir. Ich muss jeden Tag Überstunden machen.	I have a tough week ahead. I have to work overtime every day.
hart(4)	Wir haben hart gearbeitet, um die Wohnung zu bezahlen.	We worked hard to pay for the apartment.
hassen(1)	Ich hasse Autofahren.	I hate driving.
hassen(2)	Ich hasse es, zu spät zu kommen.	I hate being late.
hässlich(1)	Das ist aber eine hässliche Lampe!	But that is an ugly lamp!
hässlich(2)	Dieses Kleid finde ich hässlich.	I find this dress ugly.
häufig(1)	Haben Sie häufig Kopfschmerzen?	Do you often have headaches?
Haupt-(1)	Berlin ist die Hauptstadt von Deutschland.	Berlin is the capital of Germany.
der Hauptbahnhof(1)	Treffen wir uns am Hauptbahnhof?	Shall we meet at the main train station?
das Haus(1)	Wir haben ein Haus gemietet.	We rented a house.
das Haus(2)	Ich komme gerade von zu Hause.	I just came from home.
das Haus(3)	Ich muss jetzt nach Hause.	I need to go home now.
das Haus(4)	Paul ist nicht zu Hause.	Paul is not at home.
die Hausaufgabe(1)	Kannst du mir bei den Hausaufgaben helfen?	Can you help me with the homework?
die Hausfrau/der Hausmann(1)	Meine Frau ist Hausfrau und kümmert sich um die Kinder.	My wife is a housewife and takes care of the children.
die Hausfrau/der Hausmann(2)	Mein Mann ist Hausmann und kümmert sich um die Kinder.	My husband is a househusband and takes care of the children.
der Haushalt(1)	Ich kümmere mich um den Haushalt, d. h. ich putze, wasche, koche etc.	I take care of the household, i.e., I clean, wash, cook, etc.
der Hausmeister(1)	Der Hausmeister hat mir geholfen, den Schrank in die Wohnung zu tragen.	The caretaker helped me carry the cabinet into the apartment.
die Heizung(1)	Es ist kalt. Ist die Heizung kaputt?	It’s cold. Is the heating broken?
der Held(1)	Er spielt gern den Helden.	He likes to play the hero.
die Heldin(1)	Sie ist die Heldin des Tages.	She is the heroine of the day.
helfen(1)	Kannst du mir helfen? Ich muss nächsten Monat umziehen.	Can you help me? I need to move next month.
helfen(2)	Die Tabletten haben mir gut geholfen.	The pills helped me a lot.
die Hilfe(1)	Vielen Dank für Ihre Hilfe.	Thank you very much for your help.
die Hilfe(2)	Haben Sie einen Kurs für Erste Hilfe gemacht? Das müssen Sie, wenn Sie den Führerschein machen wollen.	Have you taken a first aid course? You need to if you want to get a driver’s license.
die Hilfe(3)	Hilfe! Jemand hat mir die Handtasche gestohlen. Bitte helfen Sie mir!	Help! Someone stole my handbag. Please help me!
hell(1)	Im Sommer wird es um 5 Uhr schon hell.	In summer, it gets light at 5 o’clock.
hell(2)	Mein Zimmer ist schön hell.	My room is nicely bright.
hell(3)	Ich habe mir einen hellblauen Pullover gekauft.	I bought a light blue sweater.
die Haut(1)	Haben Sie eine Creme für trockene Haut?	Do you have a cream for dry skin?
heben(1)	Kannst du mir helfen? Das Paket kann ich allein nicht heben.	Can you help me? I can’t lift the package alone.
heben(2)	Wenn Sie für diesen Vorschlag sind, heben Sie bitte die Hand!	If you are in favor of this proposal, please raise your hand!
das Heft(1)	Ich hätte gern ein Schreibheft.	I would like a notebook.
das Hemd(1)	Nikos trägt heute ein weißes Hemd.	Nikos is wearing a white shirt today.
das Hend(e)l(1)	Zum Mittagessen gibt es Hendl mit Reis.	For lunch, there is chicken with rice.
her(1)	Komm her zu mir!	Come here to me!
heim(1)	Ich will jetzt heim.	I want to go home now.
das Heim(1)	Meine Oma wohnt in einem Seniorenheim.	My grandma lives in a retirement home.
die Heimat(1)	Ich lebe jetzt hier in Deutschland. Das ist meine neue Heimat.	I now live here in Germany. This is my new homeland.
heimlich(1)	Gestern habe ich gehört, dass mein Sohn heimlich raucht.	Yesterday I heard that my son smokes secretly.
das Heimweh(1)	Ich habe oft Heimweh nach meiner Familie.	I often feel homesick for my family.
heiraten(1)	Unsere Freunde heiraten nächsten Monat in Italien.	Our friends are getting married next month in Italy.
heiraten(2)	Wir haben 1980 geheiratet.	We got married in 1980.
heiraten(3)	Meine Schwester heiratet einen Japaner.	My sister is marrying a Japanese man.
heiß(1)	Für die Jahreszeit ist es zu heiß.	It’s too hot for the season.
heiß(2)	Ich mache dir einen heißen Tee.	I’ll make you a hot tea.
heißen(1)	Wie heißen Sie?	What is your name?
heißen(2)	Wie heißt das auf Deutsch?	What is this called in German?
heißen(3)	Die Erklärung verstehe ich nicht. Was heißt das?	I don’t understand the explanation. What does it mean?
heizen(1)	Wir heizen mit Öl.	We heat with oil.
heizen(2)	Ziehen Sie sich warm an. In der Halle ist nicht geheizt.	Dress warmly. The hall is not heated.
herausfinden(1)	Hast du schon herausgefunden, wann und wo man sich für den Kurs anmelden muss?	Have you already found out when and where to register for the course?
die Herausforderung(1)	Das Spiel ist eine Herausforderung.	The game is a challenge.
der Herd(1)	In der neuen Küche fehlt noch der Herd.	The new kitchen still lacks the stove.
herein(1)	Kommt doch herein!	Come on in!
die Herkunft(1)	Viele Leute fragen mich nach meiner Herkunft.	Many people ask me about my origin.
der Herr(1)	Da ist ein Herr, der möchte Sie sprechen.	There is a gentleman who would like to speak to you.
der Herr(2)	Guten Tag, Herr Müller!	Good day, Mr. Müller!
herstellen(1)	In unserer Firma stellen wir Schokolade her.	In our company, we produce chocolate.
der Hersteller(1)	Ihr Handy ist kaputt? Wir schicken es an den Hersteller zurück und lassen es reparieren.	Your phone is broken? We will send it back to the manufacturer and have it repaired.
herunterladen(1)	Ich habe mir Musik aus dem Internet heruntergeladen.	I downloaded music from the Internet.
herunterfahren(1)	Zum Schluss musst du den Computer herunterfahren.	In the end, you need to shut down the computer.
das Herz(1)	Ich bin ganz nervös. Mir klopft das Herz.	I am very nervous. My heart is pounding.
das Herz(2)	Wir müssen Ihr Herz untersuchen.	We need to examine your heart.
herzlich(1)	Herzlichen Glückwunsch!	Congratulations!
heute(1)	Heute kann ich etwas früher nach Hause gehen.	Today, I can go home a bit earlier.
heute(2)	Ab heute bleibt unser Büro nachmittags geschlossen.	From today, our office will be closed in the afternoons.
heute(3)	Frau Müller kommt heute in acht Tagen zurück.	Mrs. Müller is coming back in eight days.
heute(4)	Heute kann man sich eine Welt ohne Internet nicht mehr vorstellen.	Today, one can no longer imagine a world without the Internet.
heutig(1)	Die heutigen Computer können viel mehr als noch vor ein paar Jahren.	Today's computers can do much more than a few years ago.
hier(1)	Hier wohne ich.	I live here.
hier(2)	Von hier hat man eine herrliche Aussicht.	From here, you have a wonderful view.
hier(3)	Hier sind die Schlüssel für meine Wohnung. Kannst Du meine Blumen gießen?	Here are the keys to my apartment. Can you water my plants?
hier(4)	Hier ist Pamela Linke. Bitte hinterlassen Sie eine Nachricht.	This is Pamela Linke. Please leave a message.
hierher(1)	Ich komme oft hierher. In diesem Café gibt es guten Kuchen.	I come here often. This café has good cake.
der Himmel(1)	Wir hatten im Urlaub so tolles Wetter. Immer Sonne und blauer Himmel.	We had such great weather on vacation. Always sunny and blue sky.
runterwerfen(1)	Kannst du mir bitte den Schlüssel runterwerfen? Ich habe meinen vergessen.	Can you please throw me the key? I forgot mine.
hinten(1)	Wo möchtest du sitzen? Hinten oder vorne?	Where would you like to sit? In the back or in the front?
hinten(2)	Bitte hinten aussteigen!	Please exit from the back!
hinter(1)	Hinter dem Haus haben wir einen Garten.	Behind the house, we have a garden.
hinter(2)	Fahren Sie Ihren Wagen bitte hinter das Haus.	Please drive your car behind the house.
hinter(3)	Auf den hinteren Plätzen kann man nicht sehr viel sehen.	You can’t see much from the back seats.
hinterlassen(1)	Möchten Sie eine Nachricht hinterlassen?	Would you like to leave a message?
hinterher(1)	Vor der Prüfung habe ich so viel gelernt. Hinterher habe ich vieles wieder vergessen.	I studied so much before the exam. Afterwards, I forgot a lot.
hinweisen(1)	Wir möchten Sie darauf hinweisen, dass das Rauchen am Bahnsteig nicht gestattet ist.	We would like to point out that smoking is not allowed on the platform.
der Hinweis(1)	Die Polizei hat viele Hinweise zum Unfall bekommen.	The police received many clues about the accident.
historisch(1)	Wir waren mit unserer Klasse im Historischen Museum.	We visited the Historical Museum with our class.
die Hitze(1)	Gestern war eine schreckliche Hitze!	Yesterday was terribly hot!
das Hobby(1)	Ich habe keine Zeit mehr für meine Hobbys.	I no longer have time for my hobbies.
hoch(1)	Der Berg ist fast 3000 m hoch.	The mountain is almost 3000 meters high.
hoch(2)	Das Hotel liegt hoch über dem See.	The hotel is situated high above the lake.
hoch(3)	Die Benzinpreise sind sehr hoch.	The gasoline prices are very high.
die Höhe(1)	Mein Tisch hat folgende Maße: Länge: 1,20 m, Breite: 0,60 m, Höhe: 0,80 m.	My table has the following dimensions: Length: 1.20 m, Width: 0.60 m, Height: 0.80 m.
die Höhe(2)	Wir fliegen jetzt in 6000 m Höhe.	We are now flying at an altitude of 6000 meters.
hochladen(1)	Kannst du bitte die Datei für die Hausaufgabe hochladen?	Can you please upload the file for the homework?
höchstens(1)	Ich habe wenig Zeit. Ich kann höchstens eine Viertelstunde bleiben.	I have little time. I can stay for at most a quarter of an hour.
die Hochzeit(1)	Claudia und Peter wollen ihre Hochzeit groß feiern.	Claudia and Peter want to celebrate their wedding big.
die Hochzeit(2)	Zu dieser Hochzeit kommen mehr als fünfzig Gäste.	More than fifty guests are coming to this wedding.
der Hof(1)	Die Kinder spielen am liebsten im Hof.	The children prefer to play in the yard.
der Bauernhof(1)	Meine Großeltern hatten einen Bauernhof.	My grandparents had a farm.
hoffen(1)	Ich hoffe, dass ihr zu meinem Geburtstag kommen könnt.	I hope that you can come to my birthday.
hoffen(2)	Wir alle hoffen auf besseres Wetter.	We all hope for better weather.
hoffentlich(1)	Hoffentlich hat unser Zug keine Verspätung.	Hopefully, our train is not delayed.
die Hoffnung(1)	Man darf die Hoffnung nicht verlieren.	One should not lose hope.
höflich(1)	Unser Nachbar ist sehr höflich. Er sagt immer als Erster Guten Tag.	Our neighbor is very polite. He always says hello first.
holen(1)	Soll ich uns was zu trinken holen?	Should I get us something to drink?
holen(2)	Warum haben Sie nicht sofort einen Arzt geholt?	Why didn’t you call a doctor immediately?
das Holz(1)	Möchten Sie ein Regal aus Holz oder aus Metall?	Would you like a shelf made of wood or metal?
der Honig(1)	Ich esse gern Brötchen mit Honig und Butter zum Frühstück.	I like to eat rolls with honey and butter for breakfast.
hören(1)	Ich kann nicht mehr so gut hören.	I can’t hear very well anymore.
hören(2)	Ich höre jeden Tag die Nachrichten.	I listen to the news every day.
hören(3)	Dieses Wort habe ich noch nie gehört.	I have never heard this word before.
hören(4)	Ich habe gehört, dass Herr Müller im Krankenhaus liegt.	I heard that Mr. Müller is in the hospital.
der Hörer(1)	Die Sendung hat viele Hörer und Hörerinnen.	The show has many listeners.
die Hose(1)	Können Sie die Hose etwas kürzer machen?	Can you make the pants a bit shorter?
das Hotel(1)	Im Urlaub sind wir in einem Hotel am Meer.	On vacation, we stayed at a hotel by the sea.
hübsch(1)	Wir haben eine hübsche Wohnung gefunden.	We found a nice apartment.
hübsch(2)	Dietmars neue Freundin ist sehr hübsch.	Dietmar’s new girlfriend is very pretty.
der Hügel(1)	Auf diesem Hügel machen wir eine Pause.	We will take a break on this hill.
der Humor(1)	Wir mögen Paul, weil er so viel Humor hat.	We like Paul because he has a great sense of humor.
der Humor(2)	Den Humor des Komikers verstehe ich nicht.	I don’t understand the comedian’s humor.
der Hunger(1)	Möchtest du Suppe? – Nein danke, ich habe keinen Hunger.	Would you like some soup? – No thanks, I’m not hungry.
hungrig(1)	Ich bin sehr hungrig.	I’m very hungry.
hupen(1)	Hier ist ein Krankenhaus. Hier darfst du nicht hupen.	This is a hospital. You must not honk here.
husten(1)	Der Junge hat die ganze Nacht gehustet.	The boy coughed all night.
der Husten(1)	Haben Sie ein Medikament gegen Husten?	Do you have a medicine for coughs?
der Hut(1)	Sie sollten im Sommer nicht ohne Hut in die Sonne gehen.	You shouldn’t go out in the sun without a hat in the summer.
die Hütte(1)	Wir übernachten in der Hütte auf dem Berg.	We are staying overnight in the hut on the mountain.

